Serial number,Sura,Verse
1,2,80
2,2,91
3,2,93
4,2,94
5,2,97
6,2,111
7,2,120
8,2,135
9,2,139
10,2,140
11,2,142
12,2,189
13,2,215
14,2,217
15,2,219
16,2,219
17,2,220
18,2,222
19,3,12
20,3,15
21,3,20
22,3,20
23,3,26
24,3,29
25,3,31
26,3,32
27,3,61
28,3,64
29,3,73
30,3,73
31,3,84
32,3,93
33,3,95
34,3,98
35,3,99
36,3,119
37,3,154
38,3,154
39,3,165
40,3,168
41,3,183
42,4,63
43,4,77
44,4,78
45,4,127
46,4,176
47,5,4
48,5,17
49,5,18
50,5,59
51,5,60
52,5,68
53,5,76
54,5,77
55,5,100
56,6,11
57,6,12
58,6,12
59,6,14
60,6,14
61,6,15
62,6,19
63,6,19
64,6,19
65,6,19
66,6,37
67,6,40
68,6,46
69,6,47
70,6,50
71,6,50
72,6,54
73,6,56
74,6,56
75,6,57
76,6,58
77,6,63
78,6,64
79,6,65
80,6,66
81,6,71
82,6,71
83,6,90
84,6,91
85,6,91
86,6,109
87,6,135
88,6,143
89,6,144
90,6,145
91,6,147
92,6,148
93,6,149
94,6,150
95,6,151
96,6,158
97,6,161
98,6,162
99,6,164
100,7,28
101,7,29
102,7,32
103,7,32
104,7,33
105,7,158
106,7,187
107,7,187
108,7,188
109,7,195
110,7,203
111,8,1
112,8,38
113,8,70
114,9,24
115,9,51
116,9,52
117,9,53
118,9,61
119,9,64
120,9,65
121,9,81
122,9,83
123,9,94
124,9,105
125,10,15
126,10,16
127,10,18
128,10,20
129,10,21
130,10,31
131,10,31
132,10,34
133,10,34
134,10,35
135,10,35
136,10,38
137,10,41
138,10,49
139,10,50
140,10,53
141,10,58
142,10,59
143,10,59
144,10,69
145,10,101
146,10,102
147,10,104
148,10,108
149,11,13
150,11,35
151,11,121
152,12,108
153,13,16
154,13,16
155,13,16
156,13,16
157,13,16
158,13,27
159,13,30
160,13,33
161,13,36
162,13,43
163,14,30
164,14,31
165,15,89
166,16,102
167,17,23
168,17,24
169,17,28
170,17,42
171,17,50
172,17,51
173,17,51
174,17,53
175,17,56
176,17,80
177,17,81
178,17,84
179,17,85
180,17,88
181,17,93
182,17,95
183,17,96
184,17,100
185,17,107
186,17,110
187,17,111
188,18,22
189,18,24
190,18,26
191,18,29
192,18,83
193,18,103
194,18,109
195,18,110
196,19,75
197,20,105
198,20,114
199,20,135
200,21,24
201,21,42
202,21,45
203,21,108
204,21,109
205,22,49
206,22,68
207,22,72
208,23,28
209,23,29
210,23,84
211,23,85
212,23,86
213,23,87
214,23,88
215,23,89
216,23,93
217,23,97
218,23,118
219,24,30
220,24,31
221,24,53
222,24,54
223,25,6
224,25,15
225,25,57
226,25,77
227,26,216
228,27,59
229,27,64
230,27,65
231,27,69
232,27,72
233,27,92
234,27,93
235,28,49
236,28,71
237,28,72
238,28,85
239,29,20
240,29,50
241,29,52
242,29,63
243,30,42
244,31,25
245,32,11
246,32,29
247,33,16
248,33,17
249,33,28
250,33,59
251,33,63
252,34,3
253,34,22
254,34,24
255,34,24
256,34,25
257,34,26
258,34,27
259,34,30
260,34,36
261,34,39
262,34,46
263,34,47
264,34,48
265,34,49
266,34,50
267,35,40
268,36,79
269,37,18
270,38,65
271,38,67
272,38,86
273,39,8
274,39,9
275,39,10
276,39,11
277,39,13
278,39,14
279,39,15
280,39,38
281,39,38
282,39,39
283,39,43
284,39,44
285,39,46
286,39,53
287,39,64
288,40,66
289,41,6
290,41,9
291,41,13
292,41,44
293,41,52
294,42,15
295,42,23
296,43,81
297,43,89
298,45,14
299,45,26
300,46,4
301,46,8
302,46,9
303,46,10
304,48,11
305,48,15
306,48,16
307,49,14
308,49,16
309,49,17
310,52,31
311,56,49
312,62,6
313,62,8
314,62,11
315,64,7
316,67,23
317,67,24
318,67,26
319,67,28
320,67,29
321,67,30
322,72,1
323,72,20
324,72,21
325,72,22
326,72,25
327,79,18
328,109,1
329,112,1
330,113,1
331,114,1
332*,21,112
